Problem,Dim,Time,Alg1,Alg2,Winner,F1,F2
rastrigin,132,27.4,generating_set_search,de_rand_2_bin,0,6.366462912410498e-12,1419.930633549306
rastrigin,67,14.4,random_search,generating_set_search,1,808.0629045716331,6.821210263296962e-13
rosenbrock,11,3.2,probabilistic_descent,generating_set_search,1,3.0615490138272786e-12,9.57680272838162e-16
ackley,13,3.6,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,0,3.552713678800501e-15,7.601386187161552e-11
griewank,218,44.6,adaptive_de_rand_1_bin_radiuslimited,random_search,0,0.0,4465.980669949017
ackley,204,41.8,random_search,probabilistic_descent,1,20.71876038105866,19.297074779136945
rosenbrock,126,26.2,adaptive_de_rand_1_bin_radiuslimited,random_search,0,1.411934063043677e-26,8.876798437547183e8
ackley,79,16.8,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,1.1726797310984693e-10,3.552713678800501e-15
ackley,45,10.0,adaptive_de_rand_1_bin_radiuslimited,random_search,0,3.552713678800501e-15,19.792010557180458
ackley,15,4.0,random_search,generating_set_search,1,14.817679721127762,8.916245519685617e-11
rastrigin,8,2.6,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.0,0.0
rastrigin,186,38.2,generating_set_search,random_search,0,5.6843418860808015e-12,2723.1748154979273
griewank,135,28.0,random_search,de_rand_2_bin,1,2487.668047416878,240.5257067781745
rosenbrock,51,11.2,generating_set_search,de_rand_2_bin,0,8.359261423252871e-16,42.205029472190645
rastrigin,5,2.0,generating_set_search,random_search,0,0.0,5.680940511369165
deceptive_cuccu2011_15_2,123,25.6,probabilistic_descent,random_search,0,8.455020855474147e-18,137915.78292693014
deceptive_cuccu2011_15_2,117,24.4,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,1.5777218104420236e-29,8.686919592892071e-18
griewank,195,40.0,adaptive_de_rand_1_bin_radiuslimited,random_search,0,0.0,4061.779510527035
rosenbrock,275,56.0,generating_set_search,random_search,0,3.902460815820018e-6,2.7095834690829225e9
rosenbrock,30,7.0,random_search,adaptive_de_rand_1_bin_radiuslimited,1,4.1253008011766955e7,2.1521111570560728e-29
rosenbrock,83,17.6,random_search,probabilistic_descent,1,4.63414099974447e8,5.0342365331687004e-11
rosenbrock,251,51.2,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,0,3.987991829311274,5.670576967754983
ackley,20,5.0,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,0,3.552713678800501e-15,9.049117011272756e-11
griewank,7,2.4,adaptive_de_rand_1_bin_radiuslimited,random_search,0,0.0,3.8618178094847244
rastrigin,95,20.0,random_search,generating_set_search,1,1264.7596373010915,1.1368683772161603e-12
rastrigin,47,10.4,random_search,adaptive_de_rand_1_bin_radiuslimited,1,519.2580947887545,4.974795285466314
ackley,7,2.4,de_rand_2_bin,generating_set_search,0,0.0,5.2800430694333045e-11
rastrigin,9,2.8,de_rand_2_bin,probabilistic_descent,0,0.0,6.964708361834099
griewank,251,51.2,adaptive_de_rand_1_bin_radiuslimited,random_search,0,0.0,5454.939360218943
rosenbrock,76,16.2,random_search,generating_set_search,1,3.702847427352123e8,1.1197162591684823e-15
griewank,12,3.4,probabilistic_descent,de_rand_2_bin,0,1.887379141862766e-15,0.10777355952746448
rosenbrock,34,7.8,adaptive_de_rand_1_bin_radiuslimited,random_search,0,7.716045729193022e-30,6.868654193338513e7
ackley,51,11.2,random_search,de_rand_2_bin,1,19.803937225204987,2.8577042954225362e-8
griewank,144,29.8,generating_set_search,random_search,0,0.0,2764.0958953814147
rastrigin,8,2.6,probabilistic_descent,adaptive_de_rand_1_bin_radiuslimited,1,2.984877171279919,0.0
rastrigin,77,16.4,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,0,9.094947017729282e-13,25.86893548442481
rosenbrock,166,34.2,probabilistic_descent,random_search,0,3.9866331290520516,1.2380308417833815e9
ackley,42,9.4,probabilistic_descent,adaptive_de_rand_1_bin_radiuslimited,1,18.148860657405,3.552713678800501e-15
